TITLE	12.1_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:19:54
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    77.93438
MAXY	    81.61069
MINY	     0.00037
XYDATA
733.4000	71.7257
733.3000	71.5691
733.2000	71.4141
733.1000	71.2648
733.0000	71.1128
732.9000	70.9645
732.8000	70.8204
732.7000	70.6838
732.6000	70.5516
732.5000	70.4199
732.4000	70.2935
732.3000	70.1721
732.2000	70.0538
732.1000	69.939
732.0000	69.8307
731.9000	69.7259
731.8000	69.6318
731.7000	69.5369
731.6000	69.4451
731.5000	69.3579
731.4000	69.2782
731.3000	69.2064
731.2000	69.1393
731.1000	69.0748
731.0000	69.0171
730.9000	68.9603
730.8000	68.9148
730.7000	68.8706
730.6000	68.8326
730.5000	68.8063
730.4000	68.7809
730.3000	68.7585
730.2000	68.741
730.1000	68.7302
730.0000	68.7264
729.9000	68.7273
729.8000	68.7356
729.7000	68.7476
729.6000	68.7638
729.5000	68.7886
729.4000	68.8148
729.3000	68.8531
729.2000	68.8961
729.1000	68.9456
729.0000	69.0005
728.9000	69.0492
728.8000	69.1105
728.7000	69.1825
728.6000	69.2552
728.5000	69.334
728.4000	69.4183
728.3000	69.5092
728.2000	69.6049
728.1000	69.7043
728.0000	69.8087
727.9000	69.9171
727.8000	70.0343
727.7000	70.1522
727.6000	70.2717
727.5000	70.398
727.4000	70.5266
727.3000	70.668
727.2000	70.8059
727.1000	70.953
727.0000	71.105
726.9000	71.2583
726.8000	71.4163
726.7000	71.5751
726.6000	71.736
726.5000	71.9014
726.4000	72.0734
726.3000	72.2456
726.2000	72.4198
726.1000	72.5921
726.0000	72.7731
725.9000	72.9519
725.8000	73.1361
725.7000	73.3205
725.6000	73.5127
725.5000	73.6987
725.4000	73.8879
725.3000	74.0748
725.2000	74.265
725.1000	74.4565
725.0000	74.6502
724.9000	74.845
724.8000	75.038
724.7000	75.2317
724.6000	75.4239
724.5000	75.617
724.4000	75.8034
724.3000	75.9968
724.2000	76.1863
724.1000	76.3768
724.0000	76.5611
723.9000	76.7424
723.8000	76.9224
723.7000	77.1045
723.6000	77.283
723.5000	77.4587
723.4000	77.6274
723.3000	77.7924
723.2000	77.9551
723.1000	78.1106
723.0000	78.2655
722.9000	78.4232
722.8000	78.5711
722.7000	78.713
722.6000	78.851
722.5000	78.9793
722.4000	79.1086
722.3000	79.2356
722.2000	79.3504
722.1000	79.4611
722.0000	79.5656
721.9000	79.6642
721.8000	79.7617
721.7000	79.8486
721.6000	79.9264
721.5000	80.003
721.4000	80.0709
721.3000	80.1296
721.2000	80.1889
721.1000	80.2348
721.0000	80.2725
720.9000	80.3059
720.8000	80.3296
720.7000	80.3476
720.6000	80.3644
720.5000	80.3742
720.4000	80.3701
720.3000	80.3636
720.2000	80.3481
720.1000	80.3212
720.0000	80.2961
