TITLE	p-GaN-NP
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:56:37
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    76.30771
MAXY	    79.46679
MINY	     0.00225
XYDATA
769.5000	70.7827
769.4000	70.7107
769.3000	70.6425
769.2000	70.5726
769.1000	70.5042
769.0000	70.4404
768.9000	70.3744
768.8000	70.3161
768.7000	70.2732
768.6000	70.2179
768.5000	70.1694
768.4000	70.1289
768.3000	70.0829
768.2000	70.0446
768.1000	70.0114
768.0000	69.9772
767.9000	69.9526
767.8000	69.9284
767.7000	69.9066
767.6000	69.8813
767.5000	69.8697
767.4000	69.8593
767.3000	69.8503
767.2000	69.8404
767.1000	69.8369
767.0000	69.8425
766.9000	69.845
766.8000	69.8516
766.7000	69.8613
766.6000	69.8771
766.5000	69.8943
766.4000	69.9144
766.3000	69.9349
766.2000	69.958
766.1000	69.9857
766.0000	70.0208
765.9000	70.0554
765.8000	70.0971
765.7000	70.1401
765.6000	70.195
765.5000	70.2438
765.4000	70.3005
765.3000	70.3621
765.2000	70.4204
765.1000	70.4883
765.0000	70.5538
764.9000	70.6223
764.8000	70.697
764.7000	70.7724
764.6000	70.8547
764.5000	70.9382
764.4000	71.0258
764.3000	71.1104
764.2000	71.2009
764.1000	71.297
764.0000	71.3874
763.9000	71.4896
763.8000	71.5893
763.7000	71.6976
763.6000	71.801
763.5000	71.9047
763.4000	72.0183
763.3000	72.1325
763.2000	72.2472
763.1000	72.3656
763.0000	72.4867
762.9000	72.6082
762.8000	72.7331
762.7000	72.8651
762.6000	72.9919
762.5000	73.1133
762.4000	73.2455
762.3000	73.3722
762.2000	73.4998
762.1000	73.6276
762.0000	73.76
761.9000	73.8948
761.8000	74.0196
761.7000	74.1483
761.6000	74.2848
761.5000	74.4152
761.4000	74.5432
761.3000	74.6784
761.2000	74.8073
761.1000	74.9306
761.0000	75.058
760.9000	75.1947
760.8000	75.3287
760.7000	75.4626
760.6000	75.5938
760.5000	75.7163
760.4000	75.8499
760.3000	75.977
760.2000	76.1087
760.1000	76.2368
760.0000	76.363
759.9000	76.4841
759.8000	76.6093
759.7000	76.7248
759.6000	76.846
759.5000	76.9649
759.4000	77.0796
759.3000	77.189
759.2000	77.2943
759.1000	77.4002
759.0000	77.5087
758.9000	77.6107
758.8000	77.7098
758.7000	77.8099
758.6000	77.9061
758.5000	77.9992
758.4000	78.0883
758.3000	78.1815
758.2000	78.2684
758.1000	78.3475
758.0000	78.4244
757.9000	78.5033
757.8000	78.5767
757.7000	78.6477
757.6000	78.7132
757.5000	78.7713
757.4000	78.8258
757.3000	78.8899
757.2000	78.9335
757.1000	78.9775
757.0000	79.0199
756.9000	79.0583
756.8000	79.0935
756.7000	79.1238
756.6000	79.1463
756.5000	79.1707
756.4000	79.1879
756.3000	79.1987
756.2000	79.2151
756.1000	79.2263
756.0000	79.2296
755.9000	79.2355
755.8000	79.2309
755.7000	79.2189
755.6000	79.2119
755.5000	79.1975
755.4000	79.1781
755.3000	79.1525
755.2000	79.1252
755.1000	79.0905
755.0000	79.0582
754.9000	79.0229
754.8000	78.9831
754.7000	78.936
754.6000	78.8786
754.5000	78.8271
754.4000	78.7717
754.3000	78.7067
754.2000	78.642
754.1000	78.5664
754.0000	78.5027
753.9000	78.4329
753.8000	78.3572
753.7000	78.277
753.6000	78.1896
753.5000	78.1019
753.4000	78.0075
753.3000	77.9153
753.2000	77.8173
753.1000	77.7144
753.0000	77.6092
752.9000	77.4985
