TITLE	p-GaN_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:27:08
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    75.27925
MAXY	    79.98762
MINY	     0.00049
XYDATA
763.0000	73.3768
762.9000	73.5053
762.8000	73.6327
762.7000	73.7542
762.6000	73.8849
762.5000	74.0213
762.4000	74.1543
762.3000	74.2865
762.2000	74.4253
762.1000	74.5614
762.0000	74.6962
761.9000	74.8268
761.8000	74.9609
761.7000	75.0933
761.6000	75.232
761.5000	75.3653
761.4000	75.4925
761.3000	75.6249
761.2000	75.7523
761.1000	75.8851
761.0000	76.0202
760.9000	76.1434
760.8000	76.2724
760.7000	76.4046
760.6000	76.5284
760.5000	76.6566
760.4000	76.7806
760.3000	76.9091
760.2000	77.0384
760.1000	77.1618
760.0000	77.2817
759.9000	77.3983
759.8000	77.5227
759.7000	77.6335
759.6000	77.7463
759.5000	77.8558
759.4000	77.9581
759.3000	78.0722
759.2000	78.1724
759.1000	78.2677
759.0000	78.3652
758.9000	78.4556
758.8000	78.5507
758.7000	78.634
758.6000	78.7098
758.5000	78.7874
758.4000	78.8626
758.3000	78.9376
758.2000	79.0029
758.1000	79.0754
758.0000	79.1377
757.9000	79.1966
757.8000	79.2479
757.7000	79.2931
757.6000	79.3442
757.5000	79.3939
757.4000	79.429
757.3000	79.4642
757.2000	79.4952
757.1000	79.5254
757.0000	79.5571
756.9000	79.5792
756.8000	79.5962
756.7000	79.6094
756.6000	79.6154
756.5000	79.6177
756.4000	79.6213
756.3000	79.6175
756.2000	79.6156
756.1000	79.6029
756.0000	79.5875
755.9000	79.5635
755.8000	79.5398
755.7000	79.5169
755.6000	79.4859
755.5000	79.4457
755.4000	79.4016
755.3000	79.3631
755.2000	79.3152
755.1000	79.2683
755.0000	79.2168
754.9000	79.1631
754.8000	79.0999
754.7000	79.0334
754.6000	78.961
754.5000	78.8929
754.4000	78.8114
754.3000	78.73
754.2000	78.6506
754.1000	78.5622
754.0000	78.4687
753.9000	78.376
753.8000	78.2851
753.7000	78.1849
753.6000	78.0839
753.5000	77.975
753.4000	77.8712
753.3000	77.7508
753.2000	77.6416
753.1000	77.5247
753.0000	77.4085
752.9000	77.2876
752.8000	77.1686
752.7000	77.0432
752.6000	76.9206
752.5000	76.79
752.4000	76.6652
752.3000	76.5368
752.2000	76.4013
752.1000	76.2696
752.0000	76.1405
751.9000	76.0064
751.8000	75.8668
751.7000	75.7343
751.6000	75.5948
751.5000	75.4562
751.4000	75.317
751.3000	75.1756
751.2000	75.0403
751.1000	74.9094
751.0000	74.7716
750.9000	74.638
750.8000	74.4997
750.7000	74.365
750.6000	74.2311
750.5000	74.0925
750.4000	73.9527
750.3000	73.8184
750.2000	73.6879
750.1000	73.5557
750.0000	73.427
749.9000	73.3039
749.8000	73.1777
749.7000	73.0549
749.6000	72.9297
749.5000	72.8073
749.4000	72.6872
749.3000	72.5698
749.2000	72.4599
749.1000	72.3462
749.0000	72.2342
748.9000	72.1279
748.8000	72.0215
748.7000	71.9158
748.6000	71.8147
748.5000	71.7151
748.4000	71.622
748.3000	71.5216
748.2000	71.4349
748.1000	71.3525
748.0000	71.2716
747.9000	71.1905
747.8000	71.112
747.7000	71.0385
747.6000	70.965
747.5000	70.8968
747.4000	70.8271
747.3000	70.7638
747.2000	70.7071
747.1000	70.6578
747.0000	70.607
746.9000	70.5629
746.8000	70.5149
746.7000	70.4814
746.6000	70.4434
746.5000	70.4074
746.4000	70.3763
746.3000	70.353
746.2000	70.3326
746.1000	70.313
746.0000	70.2962
745.9000	70.2902
745.8000	70.2902
745.7000	70.2869
745.6000	70.2937
745.5000	70.3024
745.4000	70.3112
745.3000	70.3266
745.2000	70.3495
745.1000	70.3715
745.0000	70.4018
744.9000	70.4336
744.8000	70.4689
744.7000	70.5071
744.6000	70.5492
744.5000	70.5977
744.4000	70.6476
744.3000	70.7009
744.2000	70.7563
744.1000	70.8214
744.0000	70.8829
743.9000	70.9467
743.8000	71.0185
743.7000	71.091
743.6000	71.1633
