TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	17:52:36
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  300.0000
NPOINTS	    5501
FIRSTY	    77.49433
MAXY	    77.74112
MINY	     0.11690
XYDATA
753.9000	76.8399
753.8000	76.9215
753.7000	77.0938
753.6000	76.9846
753.5000	76.9816
753.4000	77.1211
753.3000	77.0909
753.2000	76.9867
753.1000	76.9666
753.0000	77.2369
752.9000	77.1709
752.8000	77.0781
752.7000	77.1329
752.6000	77.2154
752.5000	77.1376
752.4000	77.1349
752.3000	77.2912
752.2000	77.3558
752.1000	77.298
752.0000	77.3731
751.9000	77.3717
751.8000	77.3207
751.7000	77.278
751.6000	77.4187
751.5000	77.4356
751.4000	77.2651
751.3000	77.3657
751.2000	77.4427
751.1000	77.499
751.0000	77.4661
750.9000	77.5262
750.8000	77.5515
750.7000	77.4665
750.6000	77.421
750.5000	77.535
750.4000	77.5004
750.3000	77.3632
750.2000	77.4433
750.1000	77.5278
750.0000	77.3705
749.9000	77.3081
749.8000	77.3467
749.7000	77.2615
749.6000	77.0202
749.5000	76.9415
749.4000	77.0429
749.3000	76.9158
749.2000	76.7852
749.1000	76.8059
749.0000	76.8022
748.9000	76.6099
748.8000	76.5182
748.7000	76.7413
748.6000	76.6452
748.5000	76.5664
748.4000	76.706
748.3000	76.7794
748.2000	76.6634
748.1000	76.6604
748.0000	76.8908
747.9000	76.8496
747.8000	76.7069
747.7000	76.7906
747.6000	76.9088
747.5000	76.8648
747.4000	76.7785
747.3000	76.907
747.2000	76.9246
747.1000	76.6271
747.0000	76.608
746.9000	76.6688
746.8000	76.5372
746.7000	76.3288
746.6000	76.4619
746.5000	76.4435
746.4000	76.3088
746.3000	76.2944
746.2000	76.3635
746.1000	76.2303
746.0000	76.0891
745.9000	76.1173
745.8000	76.1031
745.7000	75.8214
745.6000	75.7668
745.5000	75.985
745.4000	75.8976
745.3000	75.741
745.2000	75.8117
745.1000	75.9514
745.0000	75.7298
744.9000	75.6603
744.8000	75.8354
744.7000	75.7874
744.6000	75.6414
744.5000	75.7071
744.4000	75.8353
744.3000	75.6103
744.2000	75.6033
744.1000	75.9022
744.0000	75.9059
743.9000	75.5876
743.8000	75.6214
743.7000	75.6887
743.6000	75.5012
743.5000	75.4126
743.4000	75.6341
743.3000	75.5648
743.2000	75.2218
